X,Transect,Roll,Photo,Type,Area,RMS,H_Water,H_Bare,H_Gram,H_Shrub,H_Forest,C_Water,C_Bare,C_Gram,C_Shrub,C_Forest,Latitude,Longitude,NEAR_DIST,TL,Fire,grid.id,stable_no,NA.,stable_shr,stable_forest,inc_forest,inc_shrub,dec_structure
1,2,A21248,86,tundra,8.901025016,6.52,0,0,5,1,0,0,0,0,0,0,66.9197,-116.557,7.703566404,1,0,4,80,20,0,0,0,0,0
2,2,A21248,86,tundra,8.901025016,6.52,2,0,3,4,0,0,0,0,0,0,66.9197,-116.55,7.598357529,1,0,5,38,62,0,0,0,0,0
3,2,A21248,86,tundra,8.901025016,6.52,2,1,5,1,0,0,0,0,0,0,66.9197,-116.543,7.493145807,1,0,6,50,50,0,0,0,0,0
4,2,A21248,86,tundra,8.901025016,6.52,1,0,5,1,0,0,0,0,0,0,66.9197,-116.537,7.387931241,1,0,7,91,9,0,0,0,0,0
5,2,A21248,86,tundra,8.901025016,6.52,2,0,5,2,0,0,0,0,0,0,66.9171,-116.578,7.735654296,1,0,9,41,58,0,1,0,0,0
6,2,A21248,86,tundra,8.901025016,6.52,3,0,3,2,0,0,0,0,0,0,66.9171,-116.571,7.630454553,1,0,10,8,92,0,0,0,0,0
7,2,A21248,86,tundra,8.901025016,6.52,1,0,4,3,0,0,0,0,0,0,66.9171,-116.564,7.525251961,1,0,11,70,30,0,0,0,0,0
8,2,A21248,86,tundra,8.901025016,6.52,0,0,5,1,0,0,0,-1,1,0,66.9171,-116.557,7.420046616,1,0,12,94,6,0,0,0,0,0
9,2,A21248,86,tundra,8.901025016,6.52,1,0,5,2,0,0,0,0,0,0,66.917,-116.55,7.314838428,1,0,13,94,6,0,0,0,0,0
10,2,A21248,86,tundra,8.901025016,6.52,1,2,4,2,0,0,0,-1,1,0,66.917,-116.544,7.209627388,1,0,14,90,10,0,0,0,0,0
11,2,A21248,86,tundra,8.901025016,6.52,0,0,5,2,0,0,0,0,0,0,66.917,-116.537,7.104413499,1,0,15,100,0,0,0,0,0,0
